title,view_count,like_count,comment_count,favorite_count,durations,published_at,published_date,published_time
Positive August Jazz ☕ Relaxing Starbucks Cafe Jazz Music & Happy Morning Bossa Piano - スタバ BGM,1930,21,8,0,P2D,2023-08-09 22:00:10+00:00,2023-08-09,22:00:10
Full Energy With Starbucks Coffee Music - Kickstart Week with Delight Jazz & August Bossa Nova Music,4088,28,8,0,P2D,2023-08-06 22:00:09+00:00,2023-08-06,22:00:09
"Weekend Music - Relaxing Starbucks Coffee Jazz Music - Chill Out Jazz Playlist For Work, Study",2285,20,3,0,P2DT1S,2023-08-05 22:00:11+00:00,2023-08-05,22:00:11
"Smooth Starbucks Coffee Jazz ☕ Delicate Jazz & Elegant July Bossa Nova for work, study and relax",2673,33,7,0,P2DT1S,2023-07-25 22:00:11+00:00,2023-07-25,22:00:11
Positive Morning With Starbucks Music - 24 Hours Relaxing Bossa Nova Piano Music - Coffee Shop Music,5271,29,4,0,P2D,2023-07-24 22:00:09+00:00,2023-07-24,22:00:09
Start Day With Starbucks Coffee Jazz - Morning Full Energy With Piano Bossa Nova Music,1717,16,6,0,P1D,2023-07-09 22:00:09+00:00,2023-07-09,22:00:09
"Starbucks Coffee Music - Enchanting Piano Melodies, Bossa Nova Beats for Positive Morning Vibes",2875,31,8,0,P1D,2023-07-06 22:00:10+00:00,2023-07-06,22:00:10
Good Mood Cafe Jazz - Full Positive Energy With Starbucks Bossa Nova For For The New Month,1471,17,3,0,PT23H59M59S,2023-06-30 22:00:06+00:00,2023-06-30,22:00:06
"Positive Energy With Starbucks Music - Relaxing Piano Music With Starbucks Coffee For Work, Study",1250,10,1,0,PT23H59M56S,2023-06-29 22:04:51+00:00,2023-06-29,22:04:51
"Happy Starbucks Music - 24 Hours Smooth Starbucks Cafe Jazz Music - Positive Music For Work, Study",3670,37,3,0,PT23H59M56S,2023-06-29 22:00:07+00:00,2023-06-29,22:00:07
"Relaxing Starbucks Coffee Music 2024 - Cafe Jazz Music, Coffee Shop Music, Starbucks Jazz Collection",4645,38,3,0,PT11H54M57S,2023-06-29 12:59:58+00:00,2023-06-29,12:59:58
"Positive Mood Jazz - Happy Morning Starbucks Coffee Jazz & Piano Music For Work, Study and Relax",1615,18,4,0,PT23H59M56S,2023-06-28 22:00:08+00:00,2023-06-28,22:00:08
Starbucks Coffee Jazz : Relaxing Morning With Relaxing Starbucks Music - スタバ BGM - カフェ スタバ,2338,17,3,0,PT23H59M56S,2023-06-27 23:20:54+00:00,2023-06-27,23:20:54
Starbucks Music: 24 Hours of Happy Starbucks Music with Starbucks Music Playlist Youtube,4198,38,3,0,PT23H59M56S,2023-06-27 22:00:08+00:00,2023-06-27,22:00:08
"Starbucks Music 2023 - Starbucks Coffee Shop - Smooth Piano & Bossa Nova Music For Work, Study",1578,18,3,0,P1D,2023-06-27 00:29:34+00:00,2023-06-27,00:29:34
Starbucks Jazz Music For Uplifting Mood - Happy Morning CAFE With Bossa Nova Music For Stress Relief,1027,13,5,0,PT23H59M56S,2023-06-26 22:00:07+00:00,2023-06-26,22:00:07
Starbucks Summer Ambience - Smooth Jazz Music With Starbucks Coffee Music - Coffee Shop Music,11543,61,10,0,PT23H59M56S,2023-06-26 00:43:47+00:00,2023-06-26,00:43:47
Relax Starbucks Music - Happy Morning Starbucks With Smooth Jazz Music - スタバ BGM - スターバックスbgm,1919,19,5,0,PT23H59M56S,2023-06-25 22:04:55+00:00,2023-06-25,22:04:55
Happy Mood Jazz Music With Starbucks Coffee - Relaxing Weekend Jazz Starbucks Background Music,2663,44,3,0,P1D,2023-06-24 22:00:08+00:00,2023-06-24,22:00:08
Starbucks Positive : Starbucks Jazz Music Playlist - Sweet Jazz & Bossa Nova Music for Happy Mood,1846,20,4,0,PT23H59M56S,2023-06-23 22:00:11+00:00,2023-06-23,22:00:11
"Best of Starbucks Music Collection - 24 Hours Smooth Jazz for Studying, Relax, Sleep, Work",3007,25,8,0,PT23H59M56S,2023-06-23 00:16:49+00:00,2023-06-23,00:16:49
Start Day with Starbucks Cafe - Safe Healthy & Full Energy Positive With Inspiring Bossa Nova Music,1015,14,5,0,PT23H59M56S,2023-06-22 22:00:11+00:00,2023-06-22,22:00:11
Awaken Your Senses with Starbucks Coffee  - Morning Jazz & Soothing Bossa Nova For A Positive Day,1403,15,5,0,PT23H59M56S,2023-06-21 22:00:09+00:00,2023-06-21,22:00:09
Starbucks Coffee Music - Starbucks Cafe shop - Morning Jazz & Bossa Nova Music for Full Energy Day,3504,27,8,0,PT23H59M56S,2023-06-20 22:00:10+00:00,2023-06-20,22:00:10
Full Energy New Day With Starbucks Coffee Music - Starbucks Music - Morning Jazz & Bossa Nova Music,1357,11,0,0,P0D,2023-10-05 22:01:46+00:00,2023-10-05,22:01:46
"Starbucks Happy Morning Music - Relaxing Starbucks Cafe Jazz & Bossa Nova Music For Wake Up, Study",606,11,4,0,P1D,2023-10-05 22:00:11+00:00,2023-10-05,22:00:11
Starbucks Coffee Music & Jazz Relaxing Music - Work & Study Lounge Jazz Music - Coffee Shop Music,1649,21,2,0,PT11H54M57S,2023-10-05 13:28:00+00:00,2023-10-05,13:28:00
Starbucks Coffee Shop Music - Keep Upbeat Your Moods with Jazz Relaxing Music & Elegant Bossa Nova,357,3,0,0,P0D,2023-10-05 08:53:58+00:00,2023-10-05,08:53:58
Elegant Starbucks Cafe Music - Starbucks Music 2023 - Happy Bossa Nova Music For Positive Energy,1847,22,6,0,P1DT1S,2023-10-04 22:00:07+00:00,2023-10-04,22:00:07
Starbucks BGM 2024 : Positive Jazz Music with Starbucks Coffee Music - Bossa Nova Music Playlist,1049,14,1,0,PT11H54M57S,2023-10-04 12:37:21+00:00,2023-10-04,12:37:21
"Happy October Jazz - Relaxing Morning Starbucks With Jazz Music - Bossa Nova Music For Work, Study",1347,12,4,0,P1D,2023-10-03 22:00:08+00:00,2023-10-03,22:00:08
"Relaxing Starbucks Cafe Music - Smooth Bossa Nova Piano Music - Positive Jazz For Work, Study",1108,15,5,0,PT11H54M59S,2023-10-03 13:12:16+00:00,2023-10-03,13:12:16
"Stress Relief with Autumn Relax Music 🍂 Starbucks Coffee Shop Ambience ~ Smooth Jazz For Work, Study",2140,26,8,0,P1D,2023-10-02 22:00:07+00:00,2023-10-02,22:00:07
"Starbucks Coffee Shop Music - Starbucks Cafe Jazz Music, Relaxing Starbucks Jazz Collection 2023",2027,22,2,0,PT11H54M55S,2023-10-02 10:45:24+00:00,2023-10-02,10:45:24
Starbucks October Jazz 🍁 Relaxing Elegant Bossa Nova and Positive Coffee Jazz Music for Mood Booster,3691,26,6,0,P1DT1S,2023-10-01 22:00:09+00:00,2023-10-01,22:00:09
Starbucks Autumn Ambience - Smooth Jazz Music With Starbucks Coffee Music - Coffee Shop Music,1492,16,1,0,PT11H54M55S,2023-10-01 13:27:06+00:00,2023-10-01,13:27:06
Starbucks Autumn Ambience - Smooth Jazz Music With Starbucks Coffee Music - Coffee Shop Music,531,6,1,0,PT36M50S,2023-10-01 11:41:53+00:00,2023-10-01,11:41:53
"Elegant Jazz Music - Starbucks Coffee Jazz & Bossa Nova Piano Music For Relax, Work, Study",1578,13,1,0,PT11H54M58S,2023-09-30 15:22:57+00:00,2023-09-30,15:22:57
"Starbucks Happy Jazz - Good Mood Starbucks Cafe Music - Positive Jazz for Morning, Work, Study",932,14,5,0,P1DT1S,2023-09-29 22:00:10+00:00,2023-09-29,22:00:10
Starbucks Music 2023 - Happy Morning Starbucks With Smooth Jazz Music - Starbucks Coffee Shop,3916,26,7,0,P1DT1S,2023-09-27 22:00:10+00:00,2023-09-27,22:00:10
Starbucks BGM : Good Mood Jazz Music with Starbucks Coffee Music - Bossa Nova Music Playlist,1003,12,3,0,PT11H54M57S,2023-09-27 13:19:27+00:00,2023-09-27,13:19:27
"Best of Starbucks Music Collection - Autumn Bossa Nova Jazz Music for Good Mood, Relaxation",2733,22,2,0,P1D,2023-09-26 22:00:12+00:00,2023-09-26,22:00:12
"Sweet Autumn Jazz - Good Morning With Starbucks Bossa Nova Jazz - Relaxing Jazz Music To Work, Study",1078,13,2,0,PT11H54M55S,2023-09-26 11:50:43+00:00,2023-09-26,11:50:43
Starbucks Music Playlist 2023 - Night Cafe Music - Relax Jazz Music Mixed With Starbucks Coffee,1721,23,9,0,P1DT1S,2023-09-24 22:00:09+00:00,2023-09-24,22:00:09
"Starbucks Happy Morning Music -Positive Starbucks Cafe Jazz & Bossa Nova Music For Relax, Work,Study",1667,12,6,0,P2DT1S,2023-09-20 22:00:12+00:00,2023-09-20,22:00:12
Sweet Jazz Music - Starbucks Coffee Shop Music  - Piano Music & Bossa Nova Music for Positive Day,3592,24,7,0,PT11H43M3S,2023-09-20 11:32:27+00:00,2023-09-20,11:32:27
"Sweet Starbucks Music - 24 Hours Relaxing Starbucks Cafe Jazz Music - Good Mood Jazz For Work, Study",651,12,1,0,P1DT1S,2023-09-16 22:00:12+00:00,2023-09-16,22:00:12
"Good Mood Jazz Music - Happy Morning Starbucks Cafe Jazz Instrumental Background to Work, Study",931,12,11,0,P1DT1S,2023-09-15 22:00:07+00:00,2023-09-15,22:00:07
Sensual Jazz - Smooth Jazz Instrumental Music & Starbucks September Bossa Nova for Good Mood,1371,19,3,0,PT11H41M28S,2023-09-12 13:08:34+00:00,2023-09-12,13:08:34
"Relaxing Starbucks Coffee Music 2024 - Cafe Jazz Music, Coffee Shop Music, Starbucks Jazz Collection",1704,21,2,0,PT11H41M23S,2023-09-11 19:52:22+00:00,2023-09-11,19:52:22
"Good Mood September Jazz ☕ Starbucks Morning Coffee Jazz Music & Bossa Nova Piano For Work, Study",1438,22,8,0,PT10H23M58S,2023-09-09 11:18:10+00:00,2023-09-09,11:18:10
Elegant Jazz - Good Morning With Starbucks Jazz Cafe - Cheerful Jazz & Bossa Nova for Happy Mood,1332,13,1,0,PT11H41M13S,2023-09-08 11:02:35+00:00,2023-09-08,11:02:35
"Starbucks Jazz Music ☕ Bossa Nova Piano & Relaxing Instrumental Jazz Coffee Music for Work, Study",4398,33,5,0,P2DT1S,2023-09-03 22:00:07+00:00,2023-09-03,22:00:07
"Starbucks Positive Jazz ☕ Morning Coffee Music & Smooth Bossa Nova Piano Jazz for Relax, Work, Study",1706,23,4,0,P2DT1S,2023-09-02 22:00:12+00:00,2023-09-02,22:00:12
Happy September Jazz ☕ Relaxing Starbucks Coffee Music And Smooth  Bossa Nova Piano to Positive Mood,5150,31,5,0,P1DT1S,2023-08-31 22:00:10+00:00,2023-08-31,22:00:10
"Starbucks Weekend Jazz Music - Relaxing Jazz Music - Chill Out Music For Work, Study",1434,14,1,0,PT11H54M55S,2023-08-27 13:00:55+00:00,2023-08-27,13:00:55
"Starbucks Coffee Music 2023 - Smooth Cafe Jazz Music, Coffee Shop Music, Starbucks Jazz Playlist",2915,26,2,0,PT11H54M56S,2023-08-24 13:46:02+00:00,2023-08-24,13:46:02
Starbucks Coffee Shop Music - Starbucks Coffee Jazz Music & Happy Bossa Nova for Positive Mood,893,9,4,0,PT11H54M56S,2023-08-23 13:18:24+00:00,2023-08-23,13:18:24
Happy Starbucks Music 2023 - Happy Morning Starbucks With Smooth Jazz Music - スタバ BGM - ジャズ,4506,23,2,0,P1D,2023-08-19 22:00:07+00:00,2023-08-19,22:00:07
August Jazz ☕ Relaxing Starbucks Cafe Jazz Music & Smooth Morning Bossa Nova Piano for Positive Mood,1456,11,3,0,P2D,2023-08-18 22:00:09+00:00,2023-08-18,22:00:09
Happy Starbucks August Jazz ☕ Coffee Jazz & Relax Bossa Nova Piano - Smooth Jazz Music For Good Day,2240,16,8,0,P2DT1S,2023-08-16 22:00:08+00:00,2023-08-16,22:00:08
Happy Jazz ☕ Positive August Jazz Coffee & Upbeat Morning Bossa Nova Piano Music for Uplifting Moods,2377,19,9,0,P2DT1S,2023-08-03 22:00:08+00:00,2023-08-03,22:00:08
Starbucks Coffee Rhythms: Bossa Nova Piano Playlist 2023 🎵 Smooth Jazz for a Soothing Coffee Break,1223,15,1,0,P2DT1S,2023-07-28 22:00:10+00:00,2023-07-28,22:00:10
"Relaxing Starbucks Coffee Music 2023 - Cafe Jazz Music, Coffee Shop Music, Starbucks Jazz Playlist",2377,21,6,0,PT2H54M25S,2023-07-26 22:00:09+00:00,2023-07-26,22:00:09
"Relaxing Starbucks Inspired Coffee Music - Coffee Shop Music, Cafe Jazz Music, Starbucks Music 2023",4846,34,9,0,PT23H59M59S,2023-07-07 22:00:07+00:00,2023-07-07,22:00:07
"Positive Energy With Starbucks Music - Relaxing Piano Music With Starbucks Coffee For Work, Study",1250,10,1,0,PT23H59M56S,2023-06-29 22:04:51+00:00,2023-06-29,22:04:51
"Happy Starbucks Music - 24 Hours Smooth Starbucks Cafe Jazz Music - Positive Music For Work, Study",3670,37,3,0,PT23H59M56S,2023-06-29 22:00:07+00:00,2023-06-29,22:00:07
"Relaxing Starbucks Coffee Music 2024 - Cafe Jazz Music, Coffee Shop Music, Starbucks Jazz Collection",4645,38,3,0,PT11H54M57S,2023-06-29 12:59:58+00:00,2023-06-29,12:59:58
"Positive Mood Jazz - Happy Morning Starbucks Coffee Jazz & Piano Music For Work, Study and Relax",1615,18,4,0,PT23H59M56S,2023-06-28 22:00:08+00:00,2023-06-28,22:00:08
Starbucks Coffee Jazz : Relaxing Morning With Relaxing Starbucks Music - スタバ BGM - カフェ スタバ,2338,17,3,0,PT23H59M56S,2023-06-27 23:20:54+00:00,2023-06-27,23:20:54
Starbucks Music: 24 Hours of Happy Starbucks Music with Starbucks Music Playlist Youtube,4198,38,3,0,PT23H59M56S,2023-06-27 22:00:08+00:00,2023-06-27,22:00:08
"Starbucks Music 2023 - Starbucks Coffee Shop - Smooth Piano & Bossa Nova Music For Work, Study",1578,18,3,0,P1D,2023-06-27 00:29:34+00:00,2023-06-27,00:29:34
Starbucks Jazz Music For Uplifting Mood - Happy Morning CAFE With Bossa Nova Music For Stress Relief,1027,13,5,0,PT23H59M56S,2023-06-26 22:00:07+00:00,2023-06-26,22:00:07
Starbucks Summer Ambience - Smooth Jazz Music With Starbucks Coffee Music - Coffee Shop Music,11543,61,10,0,PT23H59M56S,2023-06-26 00:43:47+00:00,2023-06-26,00:43:47
Full Energy New Day With Starbucks Coffee Music - Starbucks Music - Morning Jazz & Bossa Nova Music,1357,11,0,0,P0D,2023-10-05 22:01:46+00:00,2023-10-05,22:01:46
"Starbucks Happy Morning Music - Relaxing Starbucks Cafe Jazz & Bossa Nova Music For Wake Up, Study",606,11,4,0,P1D,2023-10-05 22:00:11+00:00,2023-10-05,22:00:11
Starbucks Coffee Music & Jazz Relaxing Music - Work & Study Lounge Jazz Music - Coffee Shop Music,1649,21,2,0,PT11H54M57S,2023-10-05 13:28:00+00:00,2023-10-05,13:28:00
Starbucks Coffee Shop Music - Keep Upbeat Your Moods with Jazz Relaxing Music & Elegant Bossa Nova,357,3,0,0,P0D,2023-10-05 08:53:58+00:00,2023-10-05,08:53:58
Elegant Starbucks Cafe Music - Starbucks Music 2023 - Happy Bossa Nova Music For Positive Energy,1847,22,6,0,P1DT1S,2023-10-04 22:00:07+00:00,2023-10-04,22:00:07
Starbucks BGM 2024 : Positive Jazz Music with Starbucks Coffee Music - Bossa Nova Music Playlist,1049,14,1,0,PT11H54M57S,2023-10-04 12:37:21+00:00,2023-10-04,12:37:21
"Happy October Jazz - Relaxing Morning Starbucks With Jazz Music - Bossa Nova Music For Work, Study",1347,12,4,0,P1D,2023-10-03 22:00:08+00:00,2023-10-03,22:00:08
"Relaxing Starbucks Cafe Music - Smooth Bossa Nova Piano Music - Positive Jazz For Work, Study",1108,15,5,0,PT11H54M59S,2023-10-03 13:12:16+00:00,2023-10-03,13:12:16
"Stress Relief with Autumn Relax Music 🍂 Starbucks Coffee Shop Ambience ~ Smooth Jazz For Work, Study",2140,26,8,0,P1D,2023-10-02 22:00:07+00:00,2023-10-02,22:00:07
"Starbucks Coffee Shop Music - Starbucks Cafe Jazz Music, Relaxing Starbucks Jazz Collection 2023",2027,22,2,0,PT11H54M55S,2023-10-02 10:45:24+00:00,2023-10-02,10:45:24
Starbucks October Jazz 🍁 Relaxing Elegant Bossa Nova and Positive Coffee Jazz Music for Mood Booster,3691,26,6,0,P1DT1S,2023-10-01 22:00:09+00:00,2023-10-01,22:00:09
Starbucks Autumn Ambience - Smooth Jazz Music With Starbucks Coffee Music - Coffee Shop Music,1492,16,1,0,PT11H54M55S,2023-10-01 13:27:06+00:00,2023-10-01,13:27:06
Starbucks Autumn Ambience - Smooth Jazz Music With Starbucks Coffee Music - Coffee Shop Music,531,6,1,0,PT36M50S,2023-10-01 11:41:53+00:00,2023-10-01,11:41:53
"Elegant Jazz Music - Starbucks Coffee Jazz & Bossa Nova Piano Music For Relax, Work, Study",1578,13,1,0,PT11H54M58S,2023-09-30 15:22:57+00:00,2023-09-30,15:22:57
Starbucks BGM : Good Mood Jazz Music with Starbucks Coffee Music - Bossa Nova Music Playlist,1003,12,3,0,PT11H54M57S,2023-09-27 13:19:27+00:00,2023-09-27,13:19:27
"Starbucks Jazz Music Collection 2023 - 12 Hours Smooth Jazz for Studying, Work, Relax, Sleep",1012,16,4,0,PT11H41M43S,2023-09-25 11:53:37+00:00,2023-09-25,11:53:37
"Autumn Starbucks Cafe Ambience with Smooth Piano Music - Jazz Music for Study, Work, Relax",3024,30,11,0,P1DT1S,2023-09-19 22:00:10+00:00,2023-09-19,22:00:10
"Starbucks Coffee Shop Music - Happy Morning Coffee With Bossa Nova Music For Work, Study",3226,24,2,0,PT11H41M30S,2023-09-18 11:37:08+00:00,2023-09-18,11:37:08
Happy Jazz - Relaxing Piano Music With Starbucks Coffee Jazz Music - Starbucks Music 2023,452,3,3,0,PT1M53S,2023-09-16 00:28:38+00:00,2023-09-16,00:28:38
"New York Starbucks Cafe Ambience - Instrumental Jazz Music Inspired by Starbucks for Work, Studying",2087,21,6,0,PT11H43M15S,2023-09-15 13:29:01+00:00,2023-09-15,13:29:01
Starbucks Coffee: Happy Morning With Relaxing Starbucks Music - スタバ BGM - カフェ スタバ,1439,18,4,0,PT11H43M5S,2023-09-13 13:11:45+00:00,2023-09-13,13:11:45
"Positive Jazz ☕ Motivative Your Moods With Starbucks Jazz Coffee & Bossa Nova Music to Work, Study",1635,20,4,0,P1DT1S,2023-08-29 22:00:09+00:00,2023-08-29,22:00:09
Positive Mood Jazz - Relax Happy Bossa Nova and Starbucks Cafe Music - Starbucks Coffee Music 2023,7269,42,7,0,P2DT1S,2023-08-22 22:00:12+00:00,2023-08-22,22:00:12
"[Starbucks BGM] Cafe Music Starbucks - Good Mood August Jazz & Bossa Nova Music for Work, Study",1951,21,5,0,PT11H54M59S,2023-08-22 13:53:13+00:00,2023-08-22,13:53:13
Positive Jazz ☕ Relaxing Jazz Instrumental Starbucks Coffee Music & Bossa Nova Piano For Better Mood,1317,12,5,0,P2DT1S,2023-08-15 22:00:10+00:00,2023-08-15,22:00:10
Start Week With Starbucks Coffee Music - Happy Morning Bossa Nova Music & Enjoy Cafe Jazz Playlist,1844,21,6,0,P2DT1S,2023-08-13 22:00:11+00:00,2023-08-13,22:00:11
Positive August Jazz ☕ Relaxing Starbucks Cafe Jazz Music & Happy Morning Bossa Piano - スタバ BGM,1930,21,8,0,P2D,2023-08-09 22:00:10+00:00,2023-08-09,22:00:10
Full Energy With Starbucks Coffee Music - Kickstart Week with Delight Jazz & August Bossa Nova Music,4088,28,8,0,P2D,2023-08-06 22:00:09+00:00,2023-08-06,22:00:09
"Weekend Music - Relaxing Starbucks Coffee Jazz Music - Chill Out Jazz Playlist For Work, Study",2285,20,3,0,P2DT1S,2023-08-05 22:00:11+00:00,2023-08-05,22:00:11
"Smooth Starbucks Coffee Jazz ☕ Delicate Jazz & Elegant July Bossa Nova for work, study and relax",2673,33,7,0,P2DT1S,2023-07-25 22:00:11+00:00,2023-07-25,22:00:11
Positive Morning With Starbucks Music - 24 Hours Relaxing Bossa Nova Piano Music - Coffee Shop Music,5271,29,4,0,P2D,2023-07-24 22:00:09+00:00,2023-07-24,22:00:09
Start Day With Starbucks Coffee Jazz - Morning Full Energy With Piano Bossa Nova Music,1717,16,6,0,P1D,2023-07-09 22:00:09+00:00,2023-07-09,22:00:09
"Starbucks Coffee Music - Enchanting Piano Melodies, Bossa Nova Beats for Positive Morning Vibes",2875,31,8,0,P1D,2023-07-06 22:00:10+00:00,2023-07-06,22:00:10
Good Mood Cafe Jazz - Full Positive Energy With Starbucks Bossa Nova For For The New Month,1471,17,3,0,PT23H59M59S,2023-06-30 22:00:06+00:00,2023-06-30,22:00:06
"Positive Energy With Starbucks Music - Relaxing Piano Music With Starbucks Coffee For Work, Study",1250,10,1,0,PT23H59M56S,2023-06-29 22:04:51+00:00,2023-06-29,22:04:51
"Happy Starbucks Music - 24 Hours Smooth Starbucks Cafe Jazz Music - Positive Music For Work, Study",3670,37,3,0,PT23H59M56S,2023-06-29 22:00:07+00:00,2023-06-29,22:00:07
"Relaxing Starbucks Coffee Music 2024 - Cafe Jazz Music, Coffee Shop Music, Starbucks Jazz Collection",4645,38,3,0,PT11H54M57S,2023-06-29 12:59:58+00:00,2023-06-29,12:59:58
"Positive Mood Jazz - Happy Morning Starbucks Coffee Jazz & Piano Music For Work, Study and Relax",1615,18,4,0,PT23H59M56S,2023-06-28 22:00:08+00:00,2023-06-28,22:00:08
Starbucks Coffee Jazz : Relaxing Morning With Relaxing Starbucks Music - スタバ BGM - カフェ スタバ,2338,17,3,0,PT23H59M56S,2023-06-27 23:20:54+00:00,2023-06-27,23:20:54
Starbucks Music: 24 Hours of Happy Starbucks Music with Starbucks Music Playlist Youtube,4198,38,3,0,PT23H59M56S,2023-06-27 22:00:08+00:00,2023-06-27,22:00:08
"Starbucks Music 2023 - Starbucks Coffee Shop - Smooth Piano & Bossa Nova Music For Work, Study",1578,18,3,0,P1D,2023-06-27 00:29:34+00:00,2023-06-27,00:29:34
Starbucks Jazz Music For Uplifting Mood - Happy Morning CAFE With Bossa Nova Music For Stress Relief,1027,13,5,0,PT23H59M56S,2023-06-26 22:00:07+00:00,2023-06-26,22:00:07
Starbucks Summer Ambience - Smooth Jazz Music With Starbucks Coffee Music - Coffee Shop Music,11543,61,10,0,PT23H59M56S,2023-06-26 00:43:47+00:00,2023-06-26,00:43:47
Relax Starbucks Music - Happy Morning Starbucks With Smooth Jazz Music - スタバ BGM - スターバックスbgm,1919,19,5,0,PT23H59M56S,2023-06-25 22:04:55+00:00,2023-06-25,22:04:55
Happy Mood Jazz Music With Starbucks Coffee - Relaxing Weekend Jazz Starbucks Background Music,2663,44,3,0,P1D,2023-06-24 22:00:08+00:00,2023-06-24,22:00:08
Starbucks Positive : Starbucks Jazz Music Playlist - Sweet Jazz & Bossa Nova Music for Happy Mood,1846,20,4,0,PT23H59M56S,2023-06-23 22:00:11+00:00,2023-06-23,22:00:11
"Best of Starbucks Music Collection - 24 Hours Smooth Jazz for Studying, Relax, Sleep, Work",3007,25,8,0,PT23H59M56S,2023-06-23 00:16:49+00:00,2023-06-23,00:16:49
Start Day with Starbucks Cafe - Safe Healthy & Full Energy Positive With Inspiring Bossa Nova Music,1015,14,5,0,PT23H59M56S,2023-06-22 22:00:11+00:00,2023-06-22,22:00:11
Awaken Your Senses with Starbucks Coffee  - Morning Jazz & Soothing Bossa Nova For A Positive Day,1403,15,5,0,PT23H59M56S,2023-06-21 22:00:09+00:00,2023-06-21,22:00:09
Starbucks Coffee Music - Starbucks Cafe shop - Morning Jazz & Bossa Nova Music for Full Energy Day,3504,27,8,0,PT23H59M56S,2023-06-20 22:00:10+00:00,2023-06-20,22:00:10
Full Energy New Day With Starbucks Coffee Music - Starbucks Music - Morning Jazz & Bossa Nova Music,1357,11,0,0,P0D,2023-10-05 22:01:46+00:00,2023-10-05,22:01:46
"Starbucks Happy Morning Music - Relaxing Starbucks Cafe Jazz & Bossa Nova Music For Wake Up, Study",606,11,4,0,P1D,2023-10-05 22:00:11+00:00,2023-10-05,22:00:11
Starbucks Coffee Music & Jazz Relaxing Music - Work & Study Lounge Jazz Music - Coffee Shop Music,1649,21,2,0,PT11H54M57S,2023-10-05 13:28:00+00:00,2023-10-05,13:28:00
Starbucks Coffee Shop Music - Keep Upbeat Your Moods with Jazz Relaxing Music & Elegant Bossa Nova,357,3,0,0,P0D,2023-10-05 08:53:58+00:00,2023-10-05,08:53:58
Elegant Starbucks Cafe Music - Starbucks Music 2023 - Happy Bossa Nova Music For Positive Energy,1847,22,6,0,P1DT1S,2023-10-04 22:00:07+00:00,2023-10-04,22:00:07
Starbucks BGM 2024 : Positive Jazz Music with Starbucks Coffee Music - Bossa Nova Music Playlist,1049,14,1,0,PT11H54M57S,2023-10-04 12:37:21+00:00,2023-10-04,12:37:21
"Happy October Jazz - Relaxing Morning Starbucks With Jazz Music - Bossa Nova Music For Work, Study",1347,12,4,0,P1D,2023-10-03 22:00:08+00:00,2023-10-03,22:00:08
"Relaxing Starbucks Cafe Music - Smooth Bossa Nova Piano Music - Positive Jazz For Work, Study",1108,15,5,0,PT11H54M59S,2023-10-03 13:12:16+00:00,2023-10-03,13:12:16
"Stress Relief with Autumn Relax Music 🍂 Starbucks Coffee Shop Ambience ~ Smooth Jazz For Work, Study",2140,26,8,0,P1D,2023-10-02 22:00:07+00:00,2023-10-02,22:00:07
"Starbucks Coffee Shop Music - Starbucks Cafe Jazz Music, Relaxing Starbucks Jazz Collection 2023",2027,22,2,0,PT11H54M55S,2023-10-02 10:45:24+00:00,2023-10-02,10:45:24
Starbucks October Jazz 🍁 Relaxing Elegant Bossa Nova and Positive Coffee Jazz Music for Mood Booster,3691,26,6,0,P1DT1S,2023-10-01 22:00:09+00:00,2023-10-01,22:00:09
Starbucks Autumn Ambience - Smooth Jazz Music With Starbucks Coffee Music - Coffee Shop Music,1492,16,1,0,PT11H54M55S,2023-10-01 13:27:06+00:00,2023-10-01,13:27:06
Starbucks Autumn Ambience - Smooth Jazz Music With Starbucks Coffee Music - Coffee Shop Music,531,6,1,0,PT36M50S,2023-10-01 11:41:53+00:00,2023-10-01,11:41:53
"Elegant Jazz Music - Starbucks Coffee Jazz & Bossa Nova Piano Music For Relax, Work, Study",1578,13,1,0,PT11H54M58S,2023-09-30 15:22:57+00:00,2023-09-30,15:22:57
Starbucks BGM : Good Mood Jazz Music with Starbucks Coffee Music - Bossa Nova Music Playlist,1003,12,3,0,PT11H54M57S,2023-09-27 13:19:27+00:00,2023-09-27,13:19:27
"Starbucks Jazz Music Collection 2023 - 12 Hours Smooth Jazz for Studying, Work, Relax, Sleep",1012,16,4,0,PT11H41M43S,2023-09-25 11:53:37+00:00,2023-09-25,11:53:37
"Autumn Starbucks Cafe Ambience with Smooth Piano Music - Jazz Music for Study, Work, Relax",3024,30,11,0,P1DT1S,2023-09-19 22:00:10+00:00,2023-09-19,22:00:10
"Starbucks Coffee Shop Music - Happy Morning Coffee With Bossa Nova Music For Work, Study",3226,24,2,0,PT11H41M30S,2023-09-18 11:37:08+00:00,2023-09-18,11:37:08
Happy Jazz - Relaxing Piano Music With Starbucks Coffee Jazz Music - Starbucks Music 2023,452,3,3,0,PT1M53S,2023-09-16 00:28:38+00:00,2023-09-16,00:28:38
"New York Starbucks Cafe Ambience - Instrumental Jazz Music Inspired by Starbucks for Work, Studying",2087,21,6,0,PT11H43M15S,2023-09-15 13:29:01+00:00,2023-09-15,13:29:01
Starbucks Coffee: Happy Morning With Relaxing Starbucks Music - スタバ BGM - カフェ スタバ,1439,18,4,0,PT11H43M5S,2023-09-13 13:11:45+00:00,2023-09-13,13:11:45
